,n=100,n=250,n=500,n=750,n=1000,n=1250
bubble,1.5846490859985352,16.205239295959473,71.77932262420654,160.8278512954712,240.10629653930664,322.79372215270996
merge,0.4523277282714844,1.0823965072631836,2.587103843688965,5.935859680175781,5.304503440856934,8.08868408203125
counting,0.12810230255126953,0.12333393096923828,0.2537727355957031,0.49910545349121094,0.41310787200927734,0.587153434753418
insertion,2.093672752380371,5.866765975952148,33.09433460235596,80.03325462341309,132.64148235321045,205.3530216217041
selection,0.6696701049804688,6.4861297607421875,27.72500514984131,65.51740169525146,132.75156021118164,181.33652210235596
